CKG_NM,CKG_MTRL_CN
가나슈초콜릿,[재료] 화이트초콜릿 100g| 녹차 가나슈 80g| 생크림 40g| 녹차가루 5~10g
가자미전,[재료] 반건조 가자미 4마리| 달걀 2개| 부추 약간| 밀가루| 식용유 [양념] 소금 약간| 후춧가루 약간
고구마떡,[재료] 밤고구마 큰것 1개 기준| 밀가루 원하는만큼| 소금 조금| 물 조금
가자미조림,[재료] 손질된 가자미 1마리(大)| 무 2줌| 양파 1개(작은것)| 대파 1대| 청고추 2개| 홍고추 2개| 물 4컵 [양념] 진간장 5큰술| 고춧가루 3큰술| 맛술 2큰술| 황설탕 1큰술| 올리고당 1큰술| 마늘 3알(다지기)| 생강가루 1/2작은술| 후춧가루 1/2작은술
가지볶음,[재료] 가지 4개| 양파(大) 1/2개| 올리브유 2큰술 [양념] 조림간장 2큰술| 고춧가루 1큰술| 참기름 1큰술| 통깨 약간| 설탕 1/2큰술| 다진 마늘 1큰술| 다진파 1큰술
가지전,[재료] 가지 2개| 밀가루 1스푼| 계란 2개| 오이 약간 [양념] 두반장 0.5스푼 | 물 1스푼 | 참기름 1스푼 | 설탕 0.3스푼 | 깨소금 간 것 0.5스푼 
가지카레,[준비물] 가지 2개| 돼지고기 200g| 감자 2개| 당근 1/2개| 양파 1개| 물 700ml [양념] 가레가루(백세카레) 1봉지(100g)| 소금 2꼬집| 후추 조금| 식용유 적당량
가지파스타,[재료] 파스타면| 가지 1개| 분홍소시지 1/5개| 마늘 5개| 청양고추 1개 [양념] 소금 3꼬집| 올리브유 5T| 다진마늘 1T
가토쇼콜라,[재료] 버터 160g| 다크초콜렛 200g| 설탕 140g| 달걀 6개| 레드와인 40g| 소금 1ts| 무가당 생크림 2Ts| 박력쌀가루 50g| 무가당 발로나 코코아 가루 60g| 장식용 슈가파우다 약간| 적당히 레드와인에 절인건포도 120g
간단토스트,[재료] 식빵1장| 모짜렐라치즈1팩| 마요네즈| 원당
간장닭볶음탕,[재료] 닭(대) 1마리| 감자(소) 6개| 양파(중) 1개| 대파 1개 [양념] 진간장 12스푼| 흑설탕 1스푼| 다진마늘 1스푼| 후춧가루 약간| 물 800ml정도
간장닭찜,[재료] 닭(1kg) 1마리| 당근 1개| 감자 2개| 홍고추 1개| 청고추 1개| 대파 1/2대 [닭 밑간] 소금 0.5작은술| 후춧가루 약간| 맛술 3큰술 [양념] 진간장 7큰술| 다진 마늘 1큰술| 맛술 2큰술| 생강즙 1작은술| 흑설탕 2큰술| 후춧가루 약간| 참기름 1큰술| 무 양파즙 2컵 [양념에 들어가는 무 양파즙] 무 1줌| 배 1/4조각| 양파 1개
가나슈타르트,[타르트지 재료] 중력분 180g| 버터 120g| 달걀 노른자 1개| 소금 1/2작은술| 우유 30g [가나슈 필링 재료] 다크 혹은 밀크 초콜릿 120g| 생크림 60g [데코 재료] 장식해줄 견과류
간장돼지갈비찜,[재료] 갈비| 밤| 대추| 파 [양념] 간장 6큰술| 다진마늘 1+1/2큰술| 생강가루 약간| 올리고당 2큰술| 청주 1큰술
간장떡볶이,[재료] 짧은 가래떡 20개 정도 [양념] 마요네즈 1스푼| 간장 0.3스푼| 설탕 0.5스푼
간장새우장,[재료] 새우 1kg(50~60마리 정도)| 양파 중 1개| 풋고추 6개| 마늘 5톨 [새우간장물] 간장 2컵| 물 3컵| 청주 1/2컵| 맛술 1/2컵| 설탕 3스푼| 생강 2톨| 마른고추 1개| 통후추 1/2스푼| 레몬 1/2개
간장어묵볶음,[재료] 종합어묵 1줌| 양파 1/4개| 마늘 2알| 올리브유 2큰술 [양념] 통깨 약간| 후추 약간| 참기름 1큰술| 조림간장 1큰술| 올리고당 1/2큰술
간장제육볶음,[재료] 돼지고기 400g| 팽이버섯 2봉지| 쪽파나 대파 1/3대 [양념] 청주 3큰술| 맛술 1큰| 흑설탕 1큰술| 물엿 1큰술| 다진 마늘 1큰술| 다진 파 3큰술| 생강즙이나 가루 0.3큰술| 후춧가루 0.3큰술| 굴 소스 1큰술| 간장 3큰술| 참기름 1큰술| 통깨 1큰술
간짜장,[재료] 양파(중) 2개| 호박 1/3개| 돼지고기 1줌| 새우살 1줌 [돼지고기밑간] 청주 2큰술| 다진 마늘 0.5큰술| 소금| 후춧가루| 생강가루 약간 [짜장소스] 춘장 3큰술| 흑설탕 1큰술| 굴 소스 0.5큰술| 간장 1큰술| 물 녹말 2큰술
갈낙전골,[재료] 찜갈비 1kg| 낙지 2마리| 양파 1/2개| 대파 1뿌리| 청양고추 3개| 미나리 1줌| 멸치다시육수 4컵| 팽이버섯 1개 [양념] 진간장 2Ts| 쯔유(국간장대체가능) 2Ts| 다진마늘 0.5Ts| 생강가루 약간| 설탕 0.5Ts| 참기름 0.5Ts| 후춧가루 약간| 진간장 2Ts| 다진마늘 0.3Ts| 고춧가루 0.5Ts| 설탕 0.3Ts| 참기름 0.3Ts| 후춧가루 약간
갈릭디핑소스,[재료] 필라델피아 크림치즈 3큰술 [양념] 마요네즈 2큰술| 우유 2큰술| 다진마늘 2작은술| 설탕 1큰술| 머스타드 2큰술| 식초 1큰술| 소금| 백후춧가루 약간
갈릭마요새우,[재료] 냉동새우 1줌 [양념] 마요네즈 4큰술| 다진마늘 1큰술| 설탕 1큰술 [새우 밑간] 후추 약간| 소금 약간
갈릭스테이크,[재료] 쇠고기 안심 3덩어리(150g)| 프렌치후라이| 양송이버섯| 슬라이스 마늘 120g [고기밑간] 소금| 후추| 통후추 10알| 월계수잎 2장| 슬라이스한 양파 1/2개| 올리브오일 [소스] 발사믹 식초 1C| 물 1C| 치킨 스톡 1개| 간장 2T| 꿀 3T| 맛술 2T
가라아게,[재료] 닭가슴살 or닭다리살 500g| 감자전분 3~4큰술| 식용유 1L [닭가슴살 밑간] 기꼬망 저염간장 4~5큰술| 청주 2큰술| 후춧가루 1작은술 [청양고추 소스] 청양고추 2~3개| 대파(다진것) 1작은술| 기꼬망 저염간장 3큰술| 레몬즙 2큰술| 올리고당 2큰술| 백후춧가루 1/3작은술| S&B 겨자 1작은술
